ID,Tag,Treatment,Genotype,Replicate,Species,Temperature,Phase,Time,FvFm,R_blank,G_blank,B_blank,R_coral,G_coral,B_coral
T1-6-1,T1-6-1_F,T1,6,1,Stylophora pistillata,33.65498611,F,18,0.312,197.4918367,195.7571429,192.8591837,60.80186019,40.36139614,13.27266727
T2-6-1,T2-6-1_I,T2,6,1,Stylophora pistillata,36.10948895,I,0,0.417,193.4885714,189.7432653,186.6583674,46.34,25.11,14.05
T2-6-1,T2-6-1_Middle,T2,6,1,Stylophora pistillata,36.10948895,Middle,7,0.247,NA,NA,NA,NA,NA,NA
T2-6-1,T2-6-1_F,T2,6,1,Stylophora pistillata,36.10948895,F,18,0.063,197.4769388,197.0173469,194.2402041,109.9066146,84.62034615,44.79280656
T3-6-1,T3-6-1_I,T3,6,1,Stylophora pistillata,37.86072744,I,0,0.406,193.4885714,189.7432653,186.6583674,53.7,35.9,10.01
T3-6-1,T3-6-1_Middle,T3,6,1,Stylophora pistillata,37.86072744,Middle,7,0.237,NA,NA,NA,NA,NA,NA
T3-6-1,T3-6-1_F,T3,6,1,Stylophora pistillata,37.86072744,F,18,0,197.4769388,197.0173469,194.2402041,110.3910869,94.86050174,74.61471515
C-6-2,C-6-2_I,C,6,2,Stylophora pistillata,31.81342634,I,0,0.418,193.4885714,189.7432653,186.6583674,63.30874939,45.59961183,17.68393957
C-6-2,C-6-2_Middle,C,6,2,Stylophora pistillata,31.81342634,Middle,7,0.397,NA,NA,NA,NA,NA,NA
C-6-2,C-6-2_F,C,6,2,Stylophora pistillata,31.81342634,F,18,0.301,196.94,194.8730612,192.0306122,80.94000657,59.06425654,25.57459505
T1-6-2,T1-6-2_I,T1,6,2,Stylophora pistillata,34.09503478,I,0,0.354,193.4885714,189.7432653,186.6583674,62.02617396,43.07216122,10.59320489
T1-6-2,T1-6-2_Middle,T1,6,2,Stylophora pistillata,34.09503478,Middle,7,0.36,NA,NA,NA,NA,NA,NA
T1-6-2,T1-6-2_F,T1,6,2,Stylophora pistillata,34.09503478,F,18,0.292,196.94,194.8730612,192.0306122,69.00383246,48.38798505,11.48112176
T2-6-2,T2-6-2_I,T2,6,2,Stylophora pistillata,35.57866298,I,0,0.42,193.4885714,189.7432653,186.6583674,48.27,26.53,15.84
T2-6-2,T2-6-2_Middle,T2,6,2,Stylophora pistillata,35.57866298,Middle,7,0.084,NA,NA,NA,NA,NA,NA
